algoritmo,timestamp_simulado,total_transacciones,tx_incluidas,gas_usado,utilidad_total,fragmentacion,lead_time_promedio_s,tiempo_ejecucion_s,block_number,dataset_file,num_tx_input,top_n
greedy_clasico,1762497038044,468,151,19922144,157620110036130848,10077856,0.0,0.004,23744723,mempool_datos_bloque_23744723.csv,468,500
greedy_clasico,1762497684956,505,276,29918947,155997424948884736,81053,0.0,0.0067,23744776,mempool_datos_bloque_23744776.csv,505,500
algoritmo_base,1762497038044,468,78,25603323,371201111511653568,4396677,0.0,0.0753,23744723,mempool_datos_bloque_23744723.csv,468,500
algoritmo_base,1762497684956,505,118,26748311,202294856811221152,3251689,0.0,0.052,23744776,mempool_datos_bloque_23744776.csv,505,500
algoritmo_base,1762497038044,468,78,25603323,371201111511653568,4396677,0.0,0.0382,23744723,mempool_datos_bloque_23744723.csv,468,500
algoritmo_base,1762497684956,505,118,26748311,202294856811221152,3251689,0.0,0.0485,23744776,mempool_datos_bloque_23744776.csv,505,500
algoritmo_base,1762497038044,468,78,25603323,371201111511653568,4396677,0.0,0.0399,23744723,mempool_datos_bloque_23744723.csv,468,500
algoritmo_base,1762497684956,505,118,26748311,202294856811221152,3251689,0.0,0.0571,23744776,mempool_datos_bloque_23744776.csv,505,500
algoritmo_base,1762540742256,393,84,29389434,1269256796925280512,610566,0.0,0.0421,23748339,mempool_datos_bloque_23748339.csv,393,500
greedy_clasico,1762497038044,468,151,19922144,157620110036130848,10077856,0.0,0.0042,23744723,mempool_datos_bloque_23744723.csv,468,500
greedy_clasico,1762497684956,505,276,29918947,155997424948884736,81053,0.0,0.0076,23744776,mempool_datos_bloque_23744776.csv,505,500
greedy_clasico,1762540742256,393,126,29670386,1082128543420810368,329614,0.0,0.0025,23748339,mempool_datos_bloque_23748339.csv,393,500
algoritmo_extendido,1762497038044,468,35,23109625,475459862742613888,475459862742613952,6890375,0.0,0.107,23744723,mempool_datos_bloque_23744723.csv,468,500
algoritmo_extendido,1762497684956,505,37,23938734,228055740045410336,228055740045410400,6061266,0.0,0.0967,23744776,mempool_datos_bloque_23744776.csv,505,500
algoritmo_extendido,1762540742256,393,45,28760275,1423817091785574144,1423817091785574144,1239725,0.0,0.1079,23748339,mempool_datos_bloque_23748339.csv,393,500
algoritmo_extendido_greedy,1762497038044,468,155,29979722,664535076383160576,664535076383160704,20278,0.0,0.1144,23744723,mempool_datos_bloque_23744723.csv,468,500
algoritmo_extendido_greedy,1762540742256,393,57,29980763,1513180086694799360,1513180086694799104,19237,0.0,0.11,23748339,mempool_datos_bloque_23748339.csv,393,500
algoritmo_extendido_greedy,1762497038044,468,155,29979722,664535076383160576,664535076383160704,20278,0.0,0.1149,23744723,mempool_datos_bloque_23744723.csv,468,500
algoritmo_extendido_greedy,1762540742256,393,57,29980763,1513180086694799360,1513180086694799104,19237,0.0,0.1147,23748339,mempool_datos_bloque_23748339.csv,393,500
algoritmo_extendido_greedy,1762497038044,468,155,29979696,664535068593471616,664535068593471616,20304,0.0,0.1505,23744723,mempool_datos_bloque_23744723.csv,468,500
algoritmo_extendido_greedy,1762497684956,505,136,29988422,328379783886447744,328379783886447744,11578,0.0,0.1389,23744776,mempool_datos_bloque_23744776.csv,505,500
algoritmo_extendido_greedy,1762540742256,393,59,29990102,1513624506815197440,1513624506815197440,9898,0.0,0.1434,23748339,mempool_datos_bloque_23748339.csv,393,500
